path,label,label_id
Tomato_Early_blight/33cd99f1-1f8a-497b-b4fc-60ff78af4b8a___RS_Erly.B 8378.JPG,Tomato_Early_blight,1
Tomato_Late_blight/ea0c20e8-ad9f-48a0-830c-280dbeeed370___GHLB_PS Leaf 48.1 Day 18.jpg,Tomato_Late_blight,2
Tomato_healthy/5733d6bf-494a-4da8-a15f-5903f4f05807___RS_HL 0259.JPG,Tomato_healthy,0
Tomato_healthy/ab1658d8-ef48-4068-b2b5-ce49fb3d06c0___GH_HL Leaf 397.1.JPG,Tomato_healthy,0
Tomato_Late_blight/a6b94272-9bb5-495e-bce4-2622d2ea34f5___GHLB Leaf 25.2 Day 12.JPG,Tomato_Late_blight,2
Tomato_Early_blight/3b86d42f-4b22-4bfe-bfa9-ec4567c886dc___RS_Erly.B 7823.JPG,Tomato_Early_blight,1
Tomato_Bacterial_spot/85079132-5a03-4f38-a5be-46af26d521f5___GCREC_Bact.Sp 3772.JPG,Tomato_Bacterial_spot,4
Tomato_healthy/977bcf65-3e68-4be3-bb8a-4a860a6fef9d___RS_HL 9986.JPG,Tomato_healthy,0
Tomato_Leaf_Mold/b8e9228f-640a-47ce-8567-bc523c6eabce___Crnl_L.Mold 6529.JPG,Tomato_Leaf_Mold,3
Tomato_Early_blight/ed68595a-4d05-413c-a173-fa32cc8aae38___RS_Erly.B 7635.JPG,Tomato_Early_blight,1
Tomato_Leaf_Mold/60c13496-85a3-4c97-8242-d7c61bdd3a1f___Crnl_L.Mold 6936.JPG,Tomato_Leaf_Mold,3
Tomato_Leaf_Mold/735f7469-96ea-4e79-9865-72883d3c16db___Crnl_L.Mold 8998.JPG,Tomato_Leaf_Mold,3
Tomato_Late_blight/a59f35a2-f548-4e6f-8784-c106af003c33___GHLB_PS Leaf 25.1 Day 16.jpg,Tomato_Late_blight,2
Tomato_Late_blight/5eefbe91-fb95-4d86-8954-bea6b3637a9d___RS_Late.B 6444.JPG,Tomato_Late_blight,2
Tomato_Late_blight/a1df42a3-9ea0-491b-a075-14b6ae8068dd___GHLB2 Leaf 8664.JPG,Tomato_Late_blight,2
Tomato_healthy/81453f31-6152-44e0-bfaf-fcd1336fc064___GH_HL Leaf 479.JPG,Tomato_healthy,0
